J_day,Sangju,Nakdan,Gumi,Chilgok,Gangjeong_Goryung,Dalsung,Hapcheon_Changnyung,Changnyung_Haman,Nakdongganghagoo
244,47.24,39.82,32.58,25.77,18.53,13.85,9.2,2.57,0.78
245,47.03,39.81,32.62,25.67,18.28,13.6,9.06,4.37,0.67
246,47.02,39.82,32.56,25.57,18.35,13.53,8.74,2.36,0.67
247,47.06,39.82,32.57,25.56,18.36,13.63,8.76,2.33,0.73
248,47.06,39.78,32.56,25.61,18.32,13.48,8.93,2.22,0.84
249,47.13,39.72,32.76,25.65,18.26,13.53,8.89,2.16,0.78
250,47.09,39.83,32.61,25.47,18.62,13.67,8.98,2.19,0.8
251,47.07,39.83,32.61,25.6,18.38,13.98,8.9,2.14,0.77
252,47.03,39.78,32.53,25.53,18.33,13.5,8.66,2.31,0.77
253,47.06,39.81,32.61,25.62,18.32,13.56,8.85,2.26,0.76
254,47.06,39.76,32.59,25.6,18.4,13.62,8.75,2.4,0.77
255,46.81,39.71,32.54,25.38,18.32,13.54,8.94,2.21,0.77
256,47.01,39.81,32.58,25.58,18.27,13.64,8.79,2.58,0.86
257,47.06,39.69,32.61,25.54,18.46,13.55,8.71,2.37,0.87
258,47.09,39.72,32.63,25.6,18.41,13.67,8.77,2.21,0.88
259,47.07,39.79,32.59,25.6,18.4,13.61,8.87,2.21,0.87
260,47.13,39.75,32.62,25.57,18.27,13.42,8.68,2.32,0.86
261,47.16,39.78,32.54,25.57,18.37,13.54,8.84,2.25,0.86
262,47.14,39.86,32.67,25.65,18.29,13.52,8.81,2.27,0.81
263,47.11,39.8,32.59,25.57,18.34,13.52,8.77,2.27,0.81
264,47.12,39.79,32.67,25.61,18.35,13.58,8.85,2.33,0.79
265,47.1,39.77,32.54,25.57,18.29,13.56,8.76,2.37,0.81
266,47.08,39.83,32.61,25.62,18.37,13.59,8.81,2.26,0.81
267,47.05,39.76,32.58,25.57,18.39,13.54,8.79,2.38,0.79
268,46.83,39.82,32.62,25.54,18.39,13.53,8.77,2.3,0.83
269,46.91,39.77,32.58,25.57,18.34,13.62,8.71,2.39,0.83
270,47.1,39.83,32.56,25.65,18.32,13.54,8.77,2.21,0.84
271,46.94,39.88,32.61,25.64,18.44,13.64,8.76,2.43,0.83
272,46.8,39.8,32.67,25.59,18.42,13.57,8.88,2.26,0.81
273,46.9,39.87,32.56,25.64,18.45,13.66,8.92,2.32,0.84
274,47.01,39.85,32.56,25.58,18.36,13.61,8.86,2.36,0.85
275,47.03,39.78,32.57,25.59,18.33,13.67,8.85,2.31,0.84
276,47.07,39.78,32.54,25.56,18.28,13.59,8.69,2.25,0.85
277,47.07,39.74,32.56,25.63,18.33,13.55,8.89,2.23,0.78
278,47.04,39.88,32.53,25.59,18.36,13.58,8.91,2.36,0.8
279,47.05,39.76,32.55,25.52,18.29,13.62,9.18,2.27,0.82
280,47.02,39.79,32.53,25.53,18.29,13.65,8.82,2.35,0.79
281,47.04,39.9,32.59,25.53,18.31,13.64,8.84,2.35,0.77
282,47.04,39.88,32.58,25.52,18.43,13.55,8.74,2.45,0.79
283,47.08,39.78,32.58,25.6,18.41,13.66,8.84,2.35,0.83
284,47.05,39.8,32.57,25.61,18.4,13.6,8.82,2.39,0.84
285,47.07,39.82,32.61,25.64,18.36,13.56,8.87,2.39,0.85
286,47.14,39.93,32.58,25.65,18.34,13.57,8.78,2.43,0.8
287,47.12,39.9,32.69,25.69,18.48,13.71,8.89,2.39,0.85
288,47.12,39.86,32.67,25.64,18.48,13.65,8.82,2.51,0.81
289,47.18,39.82,32.69,25.69,18.41,13.69,8.82,2.39,0.81
290,47.06,39.84,32.67,25.64,18.38,13.66,8.73,2.4,0.87
291,47,39.79,32.63,25.61,18.47,13.52,8.73,2.38,0.85
292,46.7,39.8,32.59,25.54,18.3,13.55,8.79,2.43,0.8
293,46.04,39.81,32.55,25.57,18.37,13.57,8.78,2.39,0.76
294,46.03,39.8,32.61,25.5,18.37,13.65,8.89,2.35,0.8
295,45.97,39.76,32.58,25.59,18.45,13.54,8.86,2.35,0.79
296,46.04,39.83,32.57,25.55,18.36,13.52,8.74,2.41,0.78
297,46.05,39.83,32.59,25.59,18.35,13.5,8.91,2.37,0.78
298,46.02,39.86,32.59,25.59,18.37,13.5,8.76,2.41,0.8
299,46.07,39.84,32.59,25.59,18.35,13.51,8.9,2.32,0.82
300,46.02,39.85,32.61,25.59,18.34,13.52,8.72,2.41,0.84
301,46.38,39.68,32.58,25.61,18.3,13.64,8.71,2.41,0.85
302,46.62,39.76,32.61,25.6,18.27,13.57,8.81,2.35,0.82
303,46.62,39.78,32.65,25.66,18.32,13.64,8.79,2.33,0.8
304,46.66,39.73,32.66,25.67,18.4,13.55,8.73,2.46,0.82
305,46.66,39.7,32.65,25.65,18.32,13.57,8.77,2.77,0.81
306,46.64,39.7,32.59,25.53,18.32,13.52,8.75,3.21,0.8
307,46.6,39.74,32.59,25.52,18.27,13.52,8.81,3.25,0.83
308,46.64,39.74,32.58,25.53,18.27,13.56,8.78,3.3,0.79
309,46.77,39.83,31.97,25.2,18.42,13.52,8.8,3.33,0.8
310,46.74,39.8,31.54,25.01,18.37,13.57,8.72,3.17,0.79
311,46.73,39.72,31.04,25.06,18.41,13.59,8.67,3.17,0.84
312,46.67,39.84,30.54,25.26,18.49,13.58,8.91,3.28,0.86
313,46.66,39.78,30.59,24.97,18.4,13.6,8.82,3.31,0.89
314,46.65,39.82,30.51,25.14,18.38,13.56,8.72,3.22,0.86
315,46.65,39.86,30.68,25.2,18.31,13.58,8.79,3.23,0.88
316,46.68,39.76,30.7,25.12,18.3,13.54,8.74,3.35,0.87
317,46.69,39.82,30.7,25.09,18.29,13.52,8.8,3.35,0.86
318,46.62,39.76,30.55,25.17,18.34,13.54,8.82,3.28,0.86
319,46.69,39.79,30.61,25.14,18.24,13.58,8.75,3.31,0.83
320,46.92,39.79,30.53,25.11,18.29,13.57,8.84,3.24,0.82
321,47.06,39.79,30.59,25.13,18.32,13.6,8.73,3.34,0.88
322,47.04,39.82,30.64,25.17,18.34,13.61,8.89,3.45,0.88
323,47.03,39.73,30.55,25.15,18.39,13.53,8.82,3.97,0.82
324,47.03,39.74,30.61,25.13,18.27,13.57,8.76,4.16,0.82
325,47.03,39.7,30.58,25.28,18.26,13.59,8.83,4.22,0.84
326,47.07,39.79,30.54,25.42,18.29,13.59,8.9,4.28,0.83
327,47.15,39.78,30.65,25.43,18.37,13.59,8.69,4.24,0.84
328,47.18,39.83,30.56,25.45,18.38,13.59,8.85,4.35,0.81
329,47.17,39.71,30.64,25.47,18.35,13.59,8.8,4.31,0.83
330,47.12,39.79,30.62,25.41,18.37,13.68,8.86,4.23,0.84
331,47.09,39.87,30.65,25.42,18.36,13.59,8.71,4.27,0.82
332,47.06,39.83,30.61,25.43,18.37,13.55,8.88,4.28,0.83
333,47.05,39.76,30.72,25.11,18.38,13.58,8.79,4.44,0.83
334,47.09,39.81,30.68,24.65,18.36,13.6,8.82,4.5,0.83
335,47.1,39.73,30.59,24.9,18.32,13.57,8.5,4.35,0.83
336,47.09,39.8,30.67,24.51,18.38,13.51,8.42,4.34,0.85
337,47.07,39.79,30.63,24.63,18.32,13.57,8.23,4.28,0.83
338,47.06,39.78,30.59,24.63,18.39,13.59,8.04,4.31,0.85
339,47.06,39.75,30.57,24.62,18.37,13.6,7.84,4.32,0.84
340,47.08,39.78,30.64,24.62,18.29,13.59,7.71,4.22,0.82
341,47.1,39.85,30.61,24.66,18.32,13.57,7.61,4.28,0.86
342,47.01,39.77,30.67,24.65,18.37,13.67,7.49,4.34,0.85
343,46.99,39.74,30.53,24.61,18.4,13.57,7.13,4.23,0.84
344,47.02,39.77,30.53,24.62,18.33,13.5,7,4.3,0.83
345,47.04,39.88,30.73,24.61,18.25,13.57,6.85,4.24,0.88
346,47.05,39.8,30.53,24.65,18.4,13.59,6.59,4.36,0.87
347,47.03,39.81,30.61,24.69,18.38,13.59,6.49,4.22,0.85
348,47.09,39.71,30.61,24.65,18.41,13.48,6.43,4.47,0.9
349,47,39.75,30.54,24.56,18.3,13.67,6.08,4.84,0.89
350,47.07,39.74,30.57,24.6,18.24,13.5,6.1,4.79,0.88
351,47.03,39.77,30.59,24.62,18.33,13.54,5.79,4.8,0.88
352,47,39.75,30.53,24.5,18.28,13.6,5.65,4.85,0.87
353,46.99,39.79,30.53,24.48,18.24,13.57,5.41,4.83,0.85
354,47.06,39.75,30.54,24.53,18.3,13.52,5.25,4.81,0.85
355,47.04,39.92,30.67,24.6,18.26,13.54,5.08,4.84,0.85
356,47.03,39.84,30.64,24.62,18.4,13.53,4.88,4.81,0.85
357,47.02,39.79,30.53,24.64,18.34,13.61,4.94,4.9,0.88
358,47.03,39.8,30.62,24.66,18.32,13.51,4.91,4.86,0.89
359,47.04,39.83,30.67,24.61,18.29,13.52,4.93,4.91,0.88
360,47.05,39.84,30.57,24.67,18.31,13.58,4.91,4.87,0.83
361,47.08,39.72,30.56,24.65,18.39,13.6,4.91,4.87,0.83
362,47.07,39.8,30.59,24.63,18.38,13.6,4.97,4.93,0.83
363,47.03,39.76,30.59,24.66,18.36,13.56,5,4.94,0.86
364,47.02,39.75,30.59,24.62,18.28,13.49,4.97,4.93,0.9
365,47.03,39.82,30.59,24.62,18.3,13.59,4.93,4.9,0.88
366,47.04,39.79,30.59,24.62,18.32,13.59,4.95,4.9,0.88
367,47.05,39.85,30.5,24.63,18.33,13.6,4.95,4.91,0.88
368,47.04,39.78,30.49,24.7,18.32,13.58,4.95,4.91,0.88
369,47.03,39.8,30.55,24.66,18.27,13.5,4.99,4.94,0.88
370,47.03,39.78,30.53,24.63,18.3,13.56,4.99,4.96,0.88
371,47.03,39.82,30.55,24.66,18.24,13.54,5,4.96,0.88
372,47.09,39.86,30.57,24.64,18.27,13.5,4.97,4.92,0.88
373,47,39.77,30.57,24.6,18.33,13.5,4.98,4.93,0.88
374,47.03,39.8,30.52,24.65,18.28,13.62,4.95,4.91,0.88
375,47.03,39.75,30.53,24.66,18.28,13.6,4.96,4.92,0.88
376,47.04,39.78,30.56,24.64,18.27,13.6,4.94,4.9,0.88
377,47.03,39.85,30.64,24.59,18.26,13.61,4.96,4.93,0.88
378,47.03,39.82,30.61,24.58,18.33,13.59,4.91,4.88,0.88
379,47.05,39.79,30.62,24.64,18.28,13.59,4.93,4.89,0.88
380,47.05,39.82,30.55,24.61,18.36,13.56,4.94,4.9,0.88
381,47.03,39.77,30.61,24.61,18.34,13.6,4.96,4.92,0.88
382,47.04,39.78,30.56,24.63,18.36,13.56,4.97,4.95,0.88
383,47.01,39.74,30.52,24.63,18.36,13.56,4.99,4.95,0.88
384,47.06,39.78,30.55,24.66,18.28,13.58,4.97,4.94,0.88
385,47.03,39.78,30.62,24.59,18.29,13.53,4.98,4.93,0.88
386,47.04,39.82,30.61,24.65,18.28,13.57,4.96,4.93,0.88
387,47.03,39.79,30.61,24.68,18.35,13.59,4.96,4.92,0.88
388,47.04,39.79,30.58,24.62,18.35,13.58,5.01,4.96,0.88
389,47.05,39.83,30.51,24.58,18.32,13.62,4.98,4.93,0.88
390,47.05,39.78,30.57,24.65,18.31,13.56,4.96,4.91,0.88
391,46.99,39.76,30.64,24.61,18.29,13.53,4.97,4.91,0.88
392,47.03,39.73,30.63,24.63,18.28,13.49,4.95,4.9,0.88
393,47.01,39.82,30.56,24.59,18.34,13.62,4.95,4.91,0.88
394,47.03,39.76,30.56,24.69,18.27,13.56,4.97,4.93,0.88
395,47.03,39.85,30.61,24.61,18.31,13.62,4.96,4.93,0.88
396,47.05,39.76,30.58,24.68,18.31,13.51,5.01,4.96,0.88
397,46.99,39.83,30.52,24.64,18.32,13.62,4.94,4.91,0.88
398,47.02,39.73,30.81,24.57,18.26,13.65,4.96,4.93,0.88
399,47.01,39.68,31.26,24.49,18.23,13.7,4.93,4.9,0.88
400,47.03,39.67,31.74,24.5,18.19,13.73,4.89,4.87,0.88
401,47.03,39.65,32.25,24.53,18.16,13.7,4.92,4.9,0.88
402,47.05,39.67,32.53,24.53,18.19,13.72,4.92,4.89,0.88
403,47.03,39.67,32.45,24.76,18.29,13.75,4.92,4.89,0.88
404,47.03,39.67,32.48,24.95,18.26,13.77,4.93,4.89,0.88
405,47.02,39.61,32.5,25.22,18.23,13.78,4.94,4.91,0.88
406,47.03,39.66,32.45,25.47,18.2,13.78,4.95,4.91,0.88
407,47.02,39.72,32.49,25.52,18.3,13.81,5.03,4.91,0.88
408,47.02,39.72,32.51,25.53,18.37,14.02,5.1,4.94,0.88
409,47.03,39.78,32.57,25.56,18.51,14.05,5.14,4.94,0.88
410,47.03,39.85,32.65,25.66,18.57,14.05,5.15,4.91,0.88
411,47.02,39.79,32.59,25.68,18.65,14.13,5.14,4.95,0.88
412,47.03,39.83,32.58,25.67,18.64,14.13,5.14,4.91,0.88
413,47.04,39.87,32.58,25.65,18.66,14.12,5.13,4.97,0.88
414,47.02,39.98,32.53,25.64,18.9,14.08,5.19,4.88,0.88
415,47.04,39.99,32.49,25.6,18.96,14.11,5.62,4.88,0.88
416,47.03,39.99,32.53,25.57,18.77,14.09,6.53,4.91,0.88
417,47.03,40,32.5,25.59,18.58,13.98,7.47,4.91,0.88
418,47.03,39.74,32.62,25.61,18.5,13.84,8.26,4.85,0.88
419,46.99,39.78,32.47,25.56,18.48,13.79,8.94,4.81,0.88
420,47.02,39.8,32.52,25.52,18.39,13.62,9.43,4.8,0.88
421,47.02,39.78,32.53,25.53,18.3,13.53,9.41,4.91,0.88
422,47.04,39.8,32.5,25.57,18.35,13.57,9.43,4.85,0.88
423,47.01,39.82,32.5,25.54,18.37,13.63,9.42,4.83,0.88
424,47.02,39.83,32.55,25.52,18.4,13.58,9.43,4.86,0.88
425,47,39.81,32.49,25.54,18.37,13.59,9.44,4.84,0.88
426,47.03,39.88,32.49,25.5,18.37,13.52,9.42,4.82,0.88
427,47,39.93,32.53,25.54,18.29,13.57,9.43,4.81,0.88
428,47,39.86,32.53,25.58,18.32,13.52,9.37,4.82,0.88
429,47.01,39.85,32.47,25.57,18.36,13.54,9.42,4.81,0.88
430,47.03,39.91,32.53,25.53,18.37,13.47,9.39,4.86,0.88
431,47.01,39.9,32.55,25.56,18.33,13.58,9.42,4.82,0.88
432,47.03,39.76,32.52,25.59,18.37,13.51,9.4,4.82,0.88
433,47.02,39.73,32.52,25.56,18.39,13.49,9.4,4.84,0.88
434,47.03,39.74,32.53,25.53,18.37,13.49,9.43,4.87,0.88
435,47.02,39.78,32.55,25.52,18.34,13.51,9.42,4.84,0.88
436,46.99,39.78,32.55,25.53,18.33,13.49,9.4,4.84,0.88
437,47.09,39.74,32.68,25.59,18.4,13.54,9.42,4.84,0.88
438,46.97,39.89,32.65,25.67,18.46,13.68,9.42,4.86,0.88
439,47.14,39.68,32.42,25.65,18.67,13.8,9.29,4.87,0.88
440,47.17,39.78,32.58,25.55,18.37,13.65,9.38,4.86,0.88
441,47.13,39.93,32.59,25.62,18.34,13.73,9.4,4.84,0.88
442,47.12,39.74,32.72,25.75,18.42,13.83,9.44,4.84,0.88
443,47.15,39.77,32.64,25.68,18.42,14.01,9.43,4.96,0.88
444,47.18,39.88,32.68,25.63,18.3,13.8,9.33,4.97,0.88
445,47.18,39.75,32.65,25.49,18.4,13.55,9.31,4.87,0.88
446,47.15,39.95,32.53,25.51,18.43,13.58,9.47,4.79,0.88
447,47.16,39.97,32.65,25.57,18.34,13.62,9.43,4.87,0.88
448,47.11,39.8,32.61,25.57,18.54,13.65,9.47,4.86,0.88
449,47.11,39.69,32.53,25.54,18.58,13.58,9.5,4.86,0.88
450,47.31,39.88,32.72,25.56,18.56,13.58,9.49,5.08,0.88
451,47.12,39.67,32.58,25.52,18.61,13.53,9.99,5.18,0.88
452,47.15,39.84,32.57,25.47,18.55,13.82,9.57,4.99,0.88
453,47.11,39.83,32.54,25.51,18.64,13.73,9.67,4.92,0.88
454,47.13,39.79,32.52,25.55,18.55,13.8,9.52,4.87,0.88
455,47.1,39.67,32.52,25.54,18.52,13.6,9.4,5.08,0.88
456,47.09,39.74,32.54,25.54,18.55,13.67,8.78,4.94,0.88
457,47.02,39.79,32.53,25.53,18.55,13.65,8.8,5.02,0.88
458,47.02,39.7,32.52,25.51,18.51,13.67,8.86,4.99,0.88
459,47.01,39.77,32.51,25.55,18.49,13.66,8.94,4.96,0.88
460,47.08,39.74,32.51,25.5,18.5,13.66,9.03,4.93,0.88
461,47.08,39.9,32.56,25.52,18.43,13.62,8.87,4.93,0.88
462,47.08,39.78,32.5,25.53,18.54,13.69,8.99,4.95,0.88
463,47.07,39.8,32.56,25.56,18.46,13.64,8.86,4.99,0.88
464,47.11,39.75,32.56,25.52,18.47,13.62,9.04,4.89,0.88
465,47.13,39.88,32.53,25.51,18.44,13.64,9,4.88,0.88
466,47.08,39.67,32.53,25.55,18.5,13.67,8.92,4.96,0.88
467,47.02,39.73,32.51,25.51,18.46,13.63,8.93,4.93,0.88
468,47.05,39.71,32.55,25.53,18.52,13.63,8.96,4.93,0.88
469,47.11,39.84,32.53,25.54,18.46,13.67,8.94,4.96,0.88
470,47.11,39.8,32.51,25.5,18.55,13.62,8.96,4.96,0.88
471,47.08,39.76,32.54,25.55,18.51,13.68,8.93,4.93,0.88
472,47.06,39.79,32.53,25.52,18.51,13.64,8.98,4.93,0.88
473,47.06,39.74,32.56,25.54,18.49,13.68,8.93,4.93,0.88
474,47.05,39.8,32.54,25.51,18.45,13.64,8.91,4.92,0.88
475,47.02,39.74,32.53,25.5,18.54,13.61,8.86,4.84,0.88
476,47.01,39.72,32.5,25.52,18.49,13.65,8.9,4.82,0.88
477,46.96,39.72,32.53,25.51,18.43,13.66,8.92,4.81,0.88
478,47.04,39.74,32.5,25.49,18.44,13.59,8.85,4.87,0.88
479,47.05,39.79,32.5,25.54,18.46,13.61,8.87,4.86,0.88
480,47.03,39.79,32.53,25.52,18.49,13.73,8.87,4.94,0.88
481,47.12,39.78,32.56,25.53,18.5,13.64,8.89,5.07,0.88
482,47.1,39.76,32.53,25.52,18.47,13.59,8.86,4.95,0.88
483,47.1,39.77,32.52,25.53,18.5,13.65,8.91,5.02,0.88
484,47.05,39.73,32.55,25.55,18.51,13.56,8.82,5.03,0.88
485,47.02,39.76,32.5,25.52,18.48,13.57,8.78,4.96,0.88
486,47.08,39.74,32.52,25.53,18.44,13.53,8.9,4.94,0.88
