day,Sangju,Nakdan,Gumi,Chilgok,Gangjeong_Goryung,Dalsung,Hapcheon_Changnyung,Changnyung_Haman
1,89.59,56.94,70.12,51.61,82.04,102.79,159.64,103.61
2,53.59,41.95,62.72,52.26,71.89,78.87,129.61,116.1
3,16.23,22.18,23.22,16.4,23.17,56.08,40.7,65.75
4,17.94,28.75,10.9,14.76,18.81,29.9,3.08,40.97
5,28.35,38.24,24.13,22.89,36.97,49.41,18.46,45.65
6,38.69,43.66,39.03,36.79,44.5,62.56,36.72,69.74
7,31.46,40.05,36.48,47.19,64.38,83.1,135.11,89.15
8,17.05,30.21,18.87,17.02,28.18,44.14,17.34,73.46
9,20.76,31.08,21.82,25.81,34.88,41.86,4.26,54.23
10,28.32,38.22,33.58,29.39,44.28,75.89,33.13,45.8
11,37.36,38.23,39.96,47.27,61.73,89.3,80.33,76.88
12,38.97,38.32,34.05,47.33,54.78,96.54,47.94,79
13,39.63,38.48,38.95,45.57,47.38,69.78,62.84,76.3
14,39.85,43.8,37.74,46.32,55.71,89.31,55.28,67.88
15,40.61,35.66,32.41,43.7,59.33,98.17,57.54,100.3
16,39.99,39.82,32.11,41.2,48.78,66.48,78.56,79.07
17,33.08,35.36,32.2,38.2,43.51,76.04,28.76,64.17
18,37.14,47.39,54.86,40.22,48.82,85.33,37.24,78.07
19,38.71,27.61,38.39,55.2,68.92,90.73,115.31,81.23
20,31.17,26.3,31.17,42.52,54.16,83.81,36.01,93.89
21,34.39,31.07,31.34,41.05,41.97,65.63,40.7,65.7
22,41.46,41.76,54.7,43.61,47.52,69.66,39.36,68.84
23,37.4,33.81,70.38,59.5,67.29,86.08,108.17,86.01
24,37.84,29.83,64.61,57.09,67.34,92.44,103.46,106.19
25,38.31,30.18,53.53,51.21,63.59,82.63,98.4,88.43
26,37.86,30.6,58.17,47.54,52.04,74.96,20.88,87.89
27,39.05,36.54,59.91,46.49,60.3,77.92,73.54,94.67
28,40.28,39.92,65.26,54.17,22.94,31.3,26.85,51.51
29,36.4,29.67,64.89,52.17,61.1,102.96,102.29,78.73
30,37.82,29.64,56.3,43.9,50.31,92.05,18.75,89.44
31,38.56,29.92,58.82,43.2,65.47,103.94,15.52,40.56
32,44.5,30.37,55.22,48.2,65.25,98.74,47.89,69.51
33,42.34,39.58,46.2,51.77,65.16,80.79,27.01,53.8
34,40.65,33.03,27.41,32.28,41.87,81.91,28.29,50.41
35,38.68,30.19,14.76,21.38,21.6,41.33,15.15,52.69
36,38.32,32.28,0,8.56,13.01,30.13,0.26,28.09
37,37.93,29.94,0.38,9.54,13.15,28.03,0.26,22.83
38,36.4,32.46,0.5,9.67,17.03,35.68,0.26,11.8
39,35.35,31.42,22.37,20.01,21.64,39.24,3.05,34.47
40,32.93,21.8,20.83,22.85,41.75,69.88,27.4,43.3
41,34.41,24.89,16.54,17.35,17.49,30.03,32.06,48.22
42,35.93,40.32,46.37,37.43,36.99,40.71,12.71,47.36
43,36.45,36.9,42.85,49.71,52.13,89.97,0.23,29.75
44,30.46,40.58,37.18,40.12,38.07,69.63,0.26,16.15
45,35.74,37.26,31.04,23.68,24.34,64.49,14.64,32.15
46,35.77,50.2,53.89,54.15,59.76,102.93,67.39,102.82
47,35.89,29.29,34.8,46.64,60.63,100.2,79.71,111.79
48,36.73,42.11,59.04,46.38,52.49,88.2,72.04,101.44
49,47.2,36.02,48.25,27.79,42.05,63.84,54.28,86.75
50,34.34,30.46,51.29,42.63,39.95,43.32,31.79,64.76
51,27.21,18.84,23.35,26.4,45.11,75.4,46.83,76.14
52,36.25,35.17,31.27,23.43,25.19,44.9,39.81,60.35
53,36,43.27,42.28,39.52,41.54,39.08,30.81,41.93
54,35.98,43.23,36.47,38.08,42.01,81.88,65.43,91.13
55,36.03,43.56,38.91,34.7,41.14,63.43,61.6,72.25
56,36.22,43.49,48.47,41.17,46.95,58.01,46.07,63.01
57,35.88,43.22,40.41,48.73,66.93,91.44,64.76,89.87
58,35.43,43.06,37.93,31.37,35.97,54.13,55.17,69.3
59,36.52,42.99,41.59,36.62,38.71,50.43,60.26,76.28
60,38,43.19,42.12,46.31,52.73,63.48,49.31,77.22
61,63.72,95.1,104.67,104.62,132.7,238.13,167.33,197.22
62,94.9,137.1,180.27,184.67,289.18,412.87,379.67,474.56
63,74.7,87.64,112.57,95.31,115.5,204.29,182.39,265.94
64,54.91,67.83,89.76,62.43,86.12,123.49,123.92,195.2
65,53.08,64.78,78.58,59.98,68.09,102.65,78.78,158.87
66,51.4,66.37,80.36,60.76,76.08,103.76,78.42,213.54
67,58.88,58.78,83.54,63.79,61.24,99.25,102.5,202.11
68,45.16,63.37,77.1,56.69,88.54,103.42,112.6,227.25
69,43.36,37.17,44.56,45.48,71.69,98.58,96.32,195.76
70,40.16,50.19,78.44,42.16,41.18,58.39,57.63,179.72
71,45.61,48.13,62.15,71.25,93.92,133.03,128.55,253.82
72,54.41,53.15,73.87,82.12,98.86,137.09,127.61,267.35
73,55.03,52.38,71.05,65.56,84.13,129.45,108.9,160.92
74,54.6,62.44,73.66,68.18,71.42,118.56,95.57,96.62
75,50.8,56.23,76.24,88.33,111.96,149,133.69,145.76
76,48.83,42.4,39.86,52.7,65.01,100.53,91.05,150.45
77,49.28,51.39,51.54,32.82,47.25,60.88,47.03,79.26
78,46.14,54,51.31,36.52,43.83,79.32,67.35,84.98
79,49.12,49.15,53.86,67.3,72.73,107.01,91.25,134.67
80,45.48,48.29,40.88,56.34,70.87,111.11,82.57,106.16
81,48.15,49.02,54.85,56.31,56.37,88.43,77.91,110.91
82,39.59,40.49,37.23,54.87,66.84,98.37,66.52,82.43
83,45.79,44.04,41.72,42.36,42.58,80.17,70.32,108.51
84,46.19,40.7,31.95,46.33,46.7,76.09,57.85,71.43
85,46.9,53.74,54.29,57.32,59.87,78.58,61.16,95.89
86,43.65,44.6,33.7,42.13,60.28,100.56,76.43,103.02
87,60.87,69.68,71.47,75.86,86.3,168.96,146.19,310.26
88,70.88,67.97,67.59,77.2,89.43,157.89,160.19,343.09
89,73.76,77.28,84.99,90.95,107.83,153.97,120.85,180.57
90,70.37,68.33,63.49,72.26,95.81,137.08,149.83,336
91,69.77,81.75,71.57,75.54,78.07,107.88,95.77,290.22
92,62.51,77.15,59.33,71.03,76.62,105.57,100.87,261.58
93,67.14,83.29,72.8,77.32,88.34,136.52,111.79,285.24
94,399.64,340.64,454,395.46,467.14,499.09,497.64,697.87
95,571.3,472.4,708.58,788.48,767.96,942.39,791.61,1070.35
96,284.92,243.24,335.51,298.86,339.92,369.97,370.12,522.61
97,176.27,154.1,183,134.44,161.21,228.23,223.28,301.67
98,144.37,139.08,162.97,129.87,170.2,227.82,206.71,275.82
99,121.27,129.13,117.13,99.72,107.5,137.66,132.76,225.51
100,83.65,108.11,89.2,97.79,106.78,152.88,158.18,207.07
101,73.43,101.17,80.7,96.58,112.41,155.95,123.53,188.41
102,67.78,95.57,68.37,76.89,89.51,140.98,137.24,203.75
103,92.6,121.32,105.15,104.8,158.77,204.53,183.74,260.57
104,104.13,132.16,109.24,92.2,128.63,150.6,153.37,269.94
105,92.76,130.56,111.6,95.09,85.18,108.58,85.04,220.46
106,88.96,121.17,105.75,97.21,110.29,162.25,141.43,237.32
107,89.54,111.58,89.61,88.48,113.71,147.07,125.45,219.49
108,74.35,106.83,89.88,86.07,104.58,144.83,123.41,208.88
109,85.2,105.83,76.18,83.73,97.61,133.39,110.51,207.55
110,73.73,108.01,91.69,90.76,89.95,121.33,110.24,189.11
111,70.21,95.38,64.02,83.35,71.96,97.08,93.13,140.85
112,62.15,96.88,61.7,67.61,57.51,106.07,83.94,103.6
113,61.34,96.69,61.67,57.2,34.33,63.69,56.35,97.2
114,52.18,80.67,45.07,48.29,34.4,32.73,32.77,58.8
115,57.17,92.69,54.2,56.25,29.69,27.8,25.96,49.63
116,54.39,88.42,49.52,59.29,29.63,42.63,41.43,72.52
117,51.42,85.74,48.97,55.66,28.27,87.93,69.81,97.72
118,51.82,62.53,34.68,48.64,28.52,57.29,70.99,102.95
119,50.92,62.91,41.85,46.07,20.19,54.24,63.31,77.01
120,52.13,48.56,52.51,63.08,37.22,80.13,65.5,95.65
121,50.31,51.18,50.09,58.81,44.21,71.36,72.39,152.45
122,58.59,43.6,40.45,56.53,28.01,69.41,67.61,141.89
123,63.78,54.86,53.71,59.49,39.56,75.3,57.43,109.1
124,62.29,54.72,52.11,64,46.91,81.13,85.86,133.61
125,71.04,69.97,65.12,77.1,73.82,133.94,98.54,141
126,73.27,61.57,62.09,79.96,57.19,115.18,105.64,129.82
127,64.54,57.3,54.29,68.12,55.71,128.59,79.31,114.92
128,61.81,55.25,53.77,62.61,51.5,88.3,87.59,116.32
129,62.54,50.29,45.94,61.78,51.14,74.32,65.84,85.96
130,57.79,43.51,34.75,57.58,44.06,69.87,69.06,100.32
131,71.94,83.3,57.79,63.37,41.72,69.07,70.28,94.75
132,71.62,80.11,81.78,93.85,106.54,137.98,127.18,125.72
133,66,66.96,52.67,57.83,54.45,81.6,101.12,120.89
134,63.36,62.92,54.44,59.59,49.25,66.25,61.02,59.3
135,65.08,67.29,55.17,60.32,65.04,91.37,99.82,129.15
136,121.12,150.43,155.39,139.6,175.26,213.86,203.22,238.92
137,482.25,416.17,602.31,688.2,700.15,712.83,606.26,704.39
138,342.34,289.33,407.49,385.37,397.37,461.62,400.31,562.02
139,223,203.28,270.83,187.45,226.65,293.73,268.66,259
140,186.18,184.31,267.2,183.45,232.61,300.39,291.82,334.51
141,155.26,172.82,249.59,181.64,250.54,346.73,333.61,386.98
142,164.94,175.25,258.01,168.72,205.01,305.85,260.69,335.43
143,138.37,159.76,247.38,155.91,194.26,290.69,231.42,287.77
144,116.87,120.86,179.93,114.47,225.02,282.61,251.69,302.34
145,102.76,113.06,136.27,86.34,195.14,228.81,174.09,195.56
146,108.15,123.08,149.83,101.79,94.85,145.36,71.09,69.24
147,100.98,95.61,115.82,114.8,167.64,199.07,186.4,127.08
148,96.16,130.23,158.31,102.81,180.73,211.12,271.46,194.97
149,112.98,129.59,164.26,129.61,215.2,255.76,256.44,214.83
150,93.73,113.63,138.76,100.61,155.52,193.32,226.09,155.42
151,100.83,122.24,155.61,108.82,148.73,165.49,195.9,124.27
152,85.49,116.36,138.62,114.9,171.66,193.43,244.64,249.26
153,95.55,93.9,85.24,76.22,120.58,134.67,145.73,197.07
154,109.48,138.09,157.48,104.67,103.06,125.82,165.43,183.85
155,147.88,157.08,226.94,209.59,323.3,348.89,393.84,326.25
156,141.6,165.29,227.37,166.37,285.89,315.99,393.89,277.98
157,139.43,142.38,188.22,133.51,196.24,213.83,295.49,272.81
158,110.99,107.91,123.55,124.13,160.75,167.39,246.48,210.1
159,101.29,97.84,90.57,84.31,98.55,124.89,174.84,190.25
160,116.17,107.66,107.93,95.15,102.92,94.29,107.9,102.37
161,130.11,89.45,83.16,77.81,106,128.17,200.45,152.23
162,162.74,146.41,157.96,149.84,224.39,217.22,263.67,274.44
163,143.07,127.97,119.92,118.89,160.01,202.04,311.68,320.74
164,113.95,115.92,114.79,116.15,149.86,194.93,319.34,270.83
165,121.43,94.97,79.41,80.87,89.07,128,148.03,137.46
166,150.94,123.96,121.43,115.61,177.94,179.29,223.15,182.22
167,148.03,105.33,89.06,87.59,141.37,154.78,195.94,223.8
168,147.31,110.12,110.97,99.97,178.72,193.32,230.73,257.07
169,151.59,106.6,100.85,96.37,163.86,173.55,229.56,206.38
170,113.22,92.59,80.16,76.79,104.35,105.16,226.82,188.45
171,145.26,114.11,103.53,95.72,112.38,104.18,165.96,161.41
172,137.78,110.11,103.27,108.61,145.02,141.92,244.8,181.19
173,134.57,103.08,91.13,114.62,186.34,195.34,276.75,264.37
174,188.34,144.9,138.25,136.43,163.57,155.9,255.64,245.31
175,152.51,125.03,104.3,115.48,169.39,158.74,224.74,255.09
176,81.45,98.18,83.06,87.29,105.67,114.88,194.38,202.36
177,80.08,91.52,58.71,76.47,94.22,88.19,181.41,203.57
178,95.99,128.85,111.39,101.99,146.38,122.35,217.42,214.27
179,98.46,124.05,99.73,106.23,144.37,151.47,249.29,217.14
180,138.89,150.94,143.87,128.48,166.21,169.01,238.67,223.01
181,168.68,132.56,117.18,136.32,189.39,196.88,274.42,237.09
182,137.97,119.41,96.23,102.61,141.91,144.82,178.92,217.8
183,99.17,94.04,66.46,73.48,106.07,122.5,140.23,186.76
184,116.16,105.9,86.73,101.26,130.68,115.84,148.59,191.48
185,217.87,193.03,242.46,203.9,328.04,414.91,392.74,452.16
186,216.43,183.53,247.21,205.58,316.68,396.59,341.57,419.2
187,155.53,159.27,201.65,271.74,444.28,565.8,570.56,1216.03
188,389.75,367.95,529.44,896.26,957.05,1235.76,1161.2,1887.22
189,1088.89,1119.86,1581.64,2204.17,2125.67,2232.59,1944.19,2866.49
190,1026.65,960.59,1325.76,1809.06,1925.52,1911.41,1842.97,2860.86
191,701.22,618.06,857.85,1141.1,1096.11,1248.72,795.67,1780.29
192,680.4,696.16,959.77,1253.43,1227.98,1487.54,1010.24,1534.96
193,696.96,598.52,818.78,1034.35,1001.94,1163.87,866.08,1493.32
194,439.53,374.4,498.44,575.02,582.01,681.41,646.73,712.99
195,345.98,294.49,391.1,379.23,424.92,530.29,485.16,461.96
196,299.77,249.84,316.67,324.41,359.38,407.02,406.12,375.21
197,297.39,252.25,304.4,295.07,281.55,317.37,331.96,320.76
198,247.03,227.69,267.75,269.9,275.43,327.41,345.28,322.11
199,225.55,216.68,258.38,278.26,297.36,361.2,331.71,317.28
200,230.56,226.57,279.58,281.17,304.9,372.66,360.78,329.41
201,219.96,172.14,234.09,219.7,248.56,312.12,342.59,303.38
202,161.69,124.68,147.35,167,267.27,317.84,353.74,271.45
203,146.39,118.23,112.15,122.48,134.2,138.29,167.34,237.71
204,99.2,101.91,92.82,110.33,118.95,149.59,169.95,196.74
205,70.49,68.64,71.52,99.81,107.14,143.74,159.06,216.86
206,79.02,86.55,76.53,90.37,88.36,128.15,126.78,191.11
207,74.71,80.88,78.48,94.49,85.59,101.87,115.11,199.83
208,79.61,80.86,78.44,93.95,86.14,115.36,130.84,181.89
209,70.65,80.85,85.59,100.22,88.81,96.88,71.75,172.62
210,66.33,58.07,47.47,80.66,94.85,148.12,112.83,195.24
211,68.16,77.43,52.75,67.28,90.82,118.97,116.98,184.23
212,71.07,80.73,73.48,74.31,72.96,96.21,69.92,154.61
213,65.69,67.58,64.86,87.93,115.12,166.53,136.68,190.53
214,97.84,137.71,138.51,239.13,345.87,366.4,339.83,301.61
215,139.64,190.23,246.12,262.55,377.29,465.27,405.51,384.31
216,109.73,153.1,157.18,175.32,245.8,309.69,263.84,303.14
217,87.52,108.92,104.23,119.9,153.51,199.66,162.35,221.92
218,87.91,110.07,96.75,97.58,100.92,158.17,149.85,231.62
219,88.52,117.08,109.28,114.62,136.11,181,143.86,211.77
220,116.62,151.91,163.28,188.27,309.21,353.82,329.75,378.13
221,132.91,145.84,160.47,162.51,234.45,235.24,239.19,314.28
222,96.94,157.11,183.13,175.59,236.34,257.17,241.67,280.66
223,87.03,137.36,163.71,120.13,165.05,246.22,415.05,344.79
224,96.27,136.84,134.94,146.18,213.35,275,290.05,325.73
225,112.03,137.09,123.78,138.09,190.51,219.06,205.2,248.8
226,93.64,122.67,104.49,129.98,194.07,250.41,250.27,272.05
227,78.9,108.71,84.36,115.8,133.23,185.63,149.77,231.73
228,77.38,108.72,85,123.21,139.4,197.31,183.48,226.59
229,74.34,92.87,68.7,111.41,134.02,171.06,196.57,263.3
230,67.39,115.2,78.42,94.41,117.11,118.34,136.9,242.8
231,66.93,94.45,72.81,107.35,118.36,118.5,152.48,249.63
232,68.36,102.12,83.19,94.59,93.3,95.24,113.89,240.62
233,76.7,134.06,153.48,210.88,210.88,220.01,276.07,411.11
234,100.35,153.69,209.29,337.25,317.07,332.7,474.36,734.15
235,104.61,164.88,228.4,352.41,305.97,289,402.47,591.27
236,428.97,721.65,918.78,1376.81,1661.07,2384.17,2425.99,2443.06
237,667.27,1301.03,1333.28,1661.3,1740.28,3188.36,3577.74,4615.95
238,469.44,605.69,704.34,964.66,947.29,1139.98,1579.02,2610.01
239,284.38,385.07,470.28,648.34,629.3,602.65,927.06,1252.49
240,244.55,392.13,504.73,754.25,752.88,725.67,1112.54,1215.74
241,275.52,386.84,462.92,605.91,626.4,550.94,878.34,994.56
242,277.31,352.64,443.19,565.32,587.9,497.35,860.81,940.86
243,215.81,291.44,383.38,388.34,435.96,342.05,589.58,719.16
244,598.33,927.23,952.07,1039.69,1054.1,1053.01,1091.08,903.29
245,1054.39,1587.02,1456.09,1720.17,1730.29,2504.96,2833.29,2318.12
246,409.01,588.95,667.22,883.75,849.99,888.65,1228.18,1708.49
247,257.37,383.24,449.52,530.28,541.95,410.97,690.43,728.55
248,207.97,295.67,350.46,385.45,391.88,322.14,478.07,539.37
249,184.95,234.59,285.19,350.3,323.47,250.23,375.13,460.82
250,245.57,260.73,400.34,526.43,443.44,327.01,456.08,416.85
251,294.88,307.26,423.63,471.46,513.24,351.72,557.95,567.9
252,231.19,230.38,361.79,393.02,407.19,346.37,516.08,507.63
253,187.88,181.58,268.26,313.32,269.01,200.44,271.36,367.72
254,156.83,163.53,222.83,298.16,256.62,200.59,289.73,364.54
255,153.61,155.11,194.92,293.54,302.02,238.27,308.05,446.1
256,115.4,113.91,126.17,142.3,150.69,121.46,187.12,298.14
257,117.34,130.22,179.67,206.94,152.87,143.38,227.59,398.73
258,117.6,119.29,135.75,136.14,173.53,126.3,190.18,379.19
259,118.36,116.08,135.44,143.96,182.4,160.73,202.51,340.63
260,133.92,192.06,276.61,321.5,401.93,317.23,453.1,427.29
261,180.38,232.03,365.96,364.59,380.29,257.92,380.12,557.5
262,130.14,150.72,219.82,233.84,234.86,187.69,255.6,347.12
263,120.64,144.3,214.26,295.39,225.21,179.62,242.38,309.51
264,121.02,143.12,191.63,262.62,224.36,173.38,246.78,316.91
265,131.16,150.12,227.63,309.29,271.07,210.68,305.02,371.29
266,133.19,146.56,205.65,255.13,187.34,151.29,207.78,314.39
267,119.21,139.14,182.76,216.24,205.32,165.56,226.93,306.07
268,117.3,120.87,122.29,134.29,167.19,136.15,194.66,286.39
269,97.79,107.76,108.15,118.87,149.6,122.62,176.07,250.36
270,85.92,92.82,88.11,103.56,111.58,111.38,136.76,258.06
271,100.43,104.76,94.17,125.82,112.6,98.13,126.09,166.76
272,118.56,132.35,131.99,151.43,199.94,172.55,215.37,320.13
273,126.67,138.14,158.58,165.56,208.37,166.47,248.39,357.04
274,130.83,159.86,188.04,189.42,251.29,208.18,279.96,392.53
275,104.22,129.41,135.81,147.48,169.06,144.55,189.5,296.46
276,90.62,104.97,100.83,123.06,140.82,131.46,191.75,294.66
277,88.3,100.9,91.14,109.28,100.19,93.91,102.95,220.63
278,85.9,86.9,77.87,121.3,103.11,89.62,126.59,188.95
279,84.84,98.63,83.8,180.02,142.08,124.43,125.61,237.2
280,84.57,84.73,70.24,119.84,95.66,86.4,143.08,239.92
281,81.09,75.71,59.89,70.8,84.83,72.28,98.37,171.43
282,75.14,77.41,79.01,81.24,89.03,85.05,123.66,190.2
283,68.68,77.29,82.68,78.69,92.68,69.49,74.09,176.69
284,73.97,76.26,77.81,91.55,117.25,113.26,163.58,253.84
285,78.24,88.04,84.84,98.45,141.43,125.25,193.77,319.47
286,74.97,83.52,83.41,99.66,127.51,98.23,189.39,301.45
287,81.78,95.89,83.74,96.37,87.5,77.4,94.77,203.25
288,86.03,92.05,96.35,111.96,130.11,125.74,178.63,216.91
289,105.32,122.08,128.56,138,204,145.49,233.58,354.58
290,143.41,153.02,186.11,208.92,257.86,200.95,292.24,362.78
291,113.32,126.89,150.14,167.57,176.89,158.15,218.4,328.53
292,109.46,114.84,125.51,153.34,214.52,158.54,216.2,302.98
293,125.77,124.02,135.68,146.57,162.34,120.3,176.64,278.41
294,98.72,96.96,84.48,110.63,126.89,104.22,122.37,212.83
295,79.82,86.73,82.45,87.3,79.67,88.28,122.2,179.94
296,55.55,69.49,48.92,71.1,85.31,81.21,115.94,169.68
297,77.14,78.21,68.44,78.21,86.88,76.03,79.96,161.31
298,82.16,78.17,70.27,84.05,88.64,75.39,119.36,158.48
299,73.81,78.11,70.23,83.96,91.61,76.52,78.87,163.77
300,80.41,78.2,71.06,84.59,90.77,77.75,127.36,165.93
301,47.61,67.98,68.37,78.53,84.92,61.1,80.05,145.74
302,45.74,42.2,40.69,66.24,60.85,66.37,71.24,133.67
303,71.84,61.74,62.33,77.7,62.54,53.64,64.27,108.49
304,90.6,84.83,95.83,115.23,98.76,83.37,128.45,167.94
305,68.42,63.09,70.35,96.76,100.55,73.71,100.11,87.01
306,67.01,59.2,72,104.07,103.87,89.76,122.96,28.72
307,67.62,57.03,59.01,81.68,84.47,69.5,89.46,75.32
308,57.55,49.56,54.51,72.8,69.23,58.17,66.81,49.3
309,52.03,35.39,103.36,148.38,157.97,122.14,163.75,138.59
310,60.64,41.67,120.09,159.67,154.75,112.81,152.71,170.63
311,58.21,41.24,133.81,105.92,111.88,88.81,116.29,108.78
312,65.5,41.02,138.06,119.04,128.5,121.89,143.72,104.37
313,73.88,55.22,115.9,149,176.35,149.67,215.54,222.58
314,61.6,44.44,106.34,71.76,76.79,82.68,124.92,140.15
315,62.98,46.23,87.1,70.54,80.69,77.46,83.86,71.43
316,57.19,47.01,101.99,93.92,101.45,93.44,131.58,97.97
317,58.75,41.39,88.64,75.46,80.03,78.6,91.41,69.79
318,61.68,49.46,117.6,81.39,79.59,73.09,87.54,87.8
319,53.27,38.84,72.03,68.3,86.98,74.24,100.98,79.89
320,39.44,33.21,79.71,76.03,68.03,66.51,68.3,72.16
321,45.76,34.39,73.28,61.14,57.29,53.22,78.93,54.56
322,54.52,31.02,78.56,60.24,57.52,58.9,46.15,32.96
323,53.35,39.2,101.28,82.64,82.32,81.62,106.24,19.84
324,52.94,33.58,80.81,75.89,88.47,74.23,103.09,84.07
325,51.85,35.76,93.33,53.35,53.7,50.69,49.65,63.12
326,48.52,28.73,80.2,37.96,42.03,45.06,46.75,64.82
327,42.21,32.43,70,51.97,38.55,43.77,68.12,102.3
328,41.13,33.33,89.3,64.24,63.35,70.91,67.7,67.33
329,45.15,42.19,94.95,68.95,71.58,72.01,93.42,151.97
330,50.32,33.63,87.37,69.87,68.76,58.2,65.72,128.4
331,52.76,33.45,81.58,63.94,64.63,67.29,97.66,138.01
332,54.87,39.95,98.6,71.4,73.77,76.07,75.15,115.87
333,54.41,40.17,86.71,107.21,119.87,97.5,134.78,157.67
334,55.48,37.94,93.21,180.38,185.18,142.81,189.59,241.92
335,59.2,47.87,111.08,68.18,70.04,95.36,145.3,236.97
336,57.54,38.7,81.18,156.62,120.94,128.95,152.98,185.22
337,56.17,42.88,95.08,68.01,78.9,86.72,115.93,162.43
338,54.95,42.27,91.98,73.73,72.77,89.07,108.66,121.9
339,54.71,42.14,89.37,73.09,84.91,107.54,115.98,143.02
340,51.3,37.59,73.74,63.78,75.14,95.69,108.86,124.42
341,48.39,36.04,77.66,67.03,62.78,81.79,96.13,104.82
342,48.66,40.41,77.68,80.15,64.35,72.45,82.33,85.65
343,30.51,30.47,69.93,78.5,65.1,101.23,131.94,162.3
344,35.84,32.02,52.08,51.31,63.95,102.03,111.9,110.87
345,48.03,34.8,48.12,42.39,61.08,71.96,78.89,95.27
346,47.92,41.88,100.25,77.57,61.99,79.77,113.78,107.54
347,50.06,41.09,73.35,57.4,56.47,86.17,88.02,120.85
348,68.83,56.99,105.76,86.16,90.56,129.75,146.83,78
349,84.74,53.05,108.51,110.23,126.9,126.9,206.28,70.17
350,49.82,41.38,76.19,61.35,66.96,122.95,152.45,106.48
351,52.69,42.09,74.27,60.25,52.61,95.42,124.82,83.49
352,43.68,40.11,75.28,79.8,86.23,87.56,179.43,92.57
353,36.68,34.8,58.52,50.06,61.55,94.15,152.82,107.02
354,31.26,36.93,60.71,39.95,39.36,58.14,57.7,75.17
355,44.19,33.78,45.22,26.69,38.52,90.19,42.96,62.31
356,47.52,47.93,84.49,69.74,43.72,76.18,45.17,78.44
357,49.84,46.71,89.84,79.57,72.18,109.6,65.26,73.41
358,48.45,43.58,69.52,58.87,58.5,107.5,61.39,99.66
