classification,station,sj_num,river_no,met_station
obs_cal,Yecheon1,11,1,no_data
obs_cal,Naesungcheon5,84,1,no_data
obs_cal,Geumhogang8,129,1,no_data
obs_cal,Hwanggang6,141,1,no_data
obs_cal,Namgang7,152,1,no_data
obs_cal,Donam,16,1,no_data
obs_cal,Nakdan,20,1,no_data
obs_cal,Sunsan,23,1,no_data
obs_cal,Chilgok,28,1,no_data
obs_cal,Dasa,32,1,no_data
obs_cal,Nongong,36,1,no_data
obs_cal,Dukgok,42,1,no_data
obs_cal,Haman,53,1,no_data
bc_in,Andong2,0,1,136
bc_in,Andong2,1,1,136
bc_in,Andong2,2,1,136
bc_in,Songyacheon,3,1,136
bc_in,Micheon,4,1,136
bc_in,WTP_Andong,5,1,136
bc_in,Poongsancheon,6,1,136
bc_in,Andong4,7,1,136
bc_in,Andong4,8,1,136
bc_in,Gwangsancheon2,9,1,136
bc_in,Andong5,10,1,136
bc_in,Yecheon1,11,1,136
bc_in,Yecheon2,12,1,136
bc_in,Youngsoon,13,1,136
bc_in,Younggang1,14,1,136
bc_in,Sangju1,15,1,136
bc_in,Sangju1,16,1,136
bc_in,WTP_Sangju,17,1,136
bc_in,Sangju2,18,1,136
bc_in,Sangju2,19,1,136
bc_in,Sangju2,20,1,136
bc_in,Sangju2,21,1,136
bc_in,Sangok,22,1,136
bc_in,Sangok,23,1,136
bc_in,Kimcheonbuhangdam,24,1,136
bc_in,Gangjeong,25,1,136
bc_in,WTP_Wonpyung_4gondan,26,1,136
bc_in,WTP_Gumi,27,1,143
bc_in,WTP_Yakmok,28,1,143
bc_in,WTP_Waigwan,29,1,143
bc_in,Baekcheon2,30,1,143
bc_in,Habincheon,31,1,143
bc_in,Habincheon,32,1,143
bc_in,WTP_Seobu+Sungseo,33,1,143
bc_in,Hwawonnaru,34,1,143
bc_in,Goryung,35,1,143
bc_in,Goryung,36,1,143
bc_in,Hyunpoong,37,1,143
bc_in,WTP_Dalsung_2ea,38,1,143
bc_in,Chacheon,39,1,143
bc_in,Daeamri,40,1,143
bc_in,Hoicheon3,41,1,143
bc_in,Hoicheon3,42,1,143
bc_in,Hwanggang6,43,1,192
bc_in,Hapcheon,44,1,192
bc_in,Topyungcheon2,45,1,192
bc_in,Changnyungcheon,46,1,192
bc_in,Changnyungcheon,47,1,192
bc_in,Yongsan,48,1,192
bc_in,Namgang7,49,1,192
bc_in,Namgang7,50,1,192
bc_in,Namgang7,51,1,192
bc_in,Gwangryocheon4,52,1,192
bc_in,Chungdocheon2,53,1,159
bc_in,Imhaejin,54,1,159
bc_in,Bukmyun,55,1,159
bc_in,Hanam,56,1,159
bc_in,Jucheongang,57,1,159
bc_in,Hwapocheon,58,1,159
bc_in,Milyanggang4,59,1,159
bc_in,Mulgeum,60,1,159
bc_in,Mulgeum,61,1,159
bc_in,Yangsancheon2,62,1,159
bc_in,Geumgok,63,1,159
bc_in,Gupo,64,1,159
bc_in,Gupo,65,1,159
bc_in,Gupo,66,1,159
bc_in,Yangsancheon2,67,1,159
bc_in,Sungdukdam,68,2,136
bc_in,Sungdukdam,69,2,136
bc_in,Sungdukdam,70,2,136
bc_in,Sungdukdam,71,2,136
bc_in,Sungdukdam,72,2,136
bc_in,Andong2,73,2,136
bc_in,Andong2,74,2,136
bc_in,Micheon,75,3,136
bc_in,Micheon,76,3,136
bc_in,Youngjuseocheon1,77,4,136
bc_in,Youngjudam1,78,4,136
bc_in,WTP_Youngju,79,4,136
bc_in,Naesungcheon2,80,4,136
bc_in,Okgyecheon,81,4,136
bc_in,Naesungcheon3,82,4,136
bc_in,Hancheon,83,4,136
bc_in,Naesungcheon5,84,4,136
bc_in,Geumcheon,85,4,136
bc_in,Naesungcheon4,86,4,136
bc_in,Naesungcheon4,87,4,136
bc_in,Geumcheon,88,5,136
bc_in,Geumcheon,89,5,136
bc_in,Younggang1,90,6,136
bc_in,Younggang1,91,6,136
bc_in,WTP_Jumchon,92,6,136
bc_in,Younggang3,93,6,136
bc_in,Younggang3,94,6,136
bc_in,Byungsungcheon,95,7,136
bc_in,Gunwidam1,96,8,136
bc_in,Gunwidam1,97,8,136
bc_in,Gunwinamcheon,98,8,136
bc_in,Wuicheon2,99,8,136
bc_in,Wuicheon2,100,8,136
bc_in,Ssanggyecheon,101,8,136
bc_in,Wuicheon4,102,8,136
bc_in,Wuicheon5,103,8,136
bc_in,Ssanggyecheon,104,8,136
bc_in,Kimcheonbuhangdam,105,9,136
bc_in,Kimcheonbuhangdam,106,9,136
bc_in,Gamcheon1,107,9,136
bc_in,Gamcheon1,108,9,136
bc_in,WTP_Gimcheon,109,9,136
bc_in,Gamcheon4,110,9,136
bc_in,Baekcheon2,111,10,143
bc_in,Bohyunsandam,112,11,143
bc_in,Bohyunsandam,113,11,143
bc_in,Youngcheondam,114,11,143
bc_in,Youngcheondam,115,11,143
bc_in,Youngcheondam,116,11,143
bc_in,Youngcheondam,117,11,143
bc_in,WTP_Youngcheon,118,11,143
bc_in,Youngcheondam,119,11,143
bc_in,Chungtongcheon,120,11,143
bc_in,Chungtongcheon,121,11,143
bc_in,Chungtongcheon,122,11,143
bc_in,Chungtongcheon,123,11,143
bc_in,WTP_Daegu_Ansim,124,11,143
bc_in,Chungtongcheon,125,11,143
bc_in,WTP_Sincheon,126,11,143
bc_in,Gachangdam1,127,11,143
bc_in,WTP_Dalseocheon_Bukbu,128,11,143
bc_in,Gachangdam1,129,11,143
bc_in,Chacheon,130,12,143
bc_in,Hoicheon1,131,13,143
bc_in,Hoicheon1,132,13,143
bc_in,Hoicheon1,133,13,143
bc_in,Gayacheon,134,13,143
bc_in,Hoicheon2,135,13,143
bc_in,Gayacheon,136,13,143
bc_in,Gayacheon,137,13,143
bc_in,Hapcheondam1,138,14,143
bc_in,Hwanggang4,139,14,143
bc_in,Hwanggang5,140,14,143
bc_in,Hwanggang5,141,14,143
bc_in,Sinbancheon,142,15,143
bc_in,Namgang2,143,16,192
bc_in,Namgang2,144,16,192
bc_in,Youngcheongang2,145,16,192
bc_in,WTP_Jinju+Sangpyung,146,16,192
bc_in,Namgang5,147,16,192
bc_in,Namgang5,148,16,192
bc_in,Namgang5,149,16,192
bc_in,Uiryungcheon,150,16,192
bc_in,Hamancheon2,151,16,192
bc_in,Namgang6,152,16,159
bc_in,Unmoondam1,153,17,159
bc_in,Dongchangcheon1,154,17,159
bc_in,Chungdocheon,155,17,159
bc_in,Milyanggang3,156,17,159
bc_in,WTP_Milyang,157,17,159
bc_in,Milyanggang4,158,17,159
bc_in,Chungdocheon,159,17,159
bc_in,Milyangdam1,160,17,159
bc_in,Milyangdam1,161,17,159
bc_in,Gachangdam1,162,11,159
bc_in,Gachangdam1,163,11,159
bc_in,WTP_Jisan,164,11,159
bc_in,Donam,165,1,136
bc_in,Nakdan,166,1,136
bc_in,Sunsan,167,1,136
bc_in,Chilgok,168,1,143
bc_in,Dasa,169,1,143
bc_in,Nongong,170,1,143
bc_in,Dukgok,171,1,143
bc_in,Haman,172,1,192
bc_in,Haman,173,1,192
initial_value,Andong2,0,1,no_data
initial_value,Andong2,1,1,no_data
initial_value,Andong2,2,1,no_data
initial_value,Andong2,3,1,no_data
initial_value,Andong2,4,1,no_data
initial_value,Andong3,5,1,no_data
initial_value,Andong3,6,1,no_data
initial_value,Andong3,7,1,no_data
initial_value,Andong4,8,1,no_data
initial_value,Andong5,9,1,no_data
initial_value,Andong5,10,1,no_data
initial_value,Yecheon1,11,1,no_data
initial_value,Yecheon2,12,1,no_data
initial_value,Youngsoon,13,1,no_data
initial_value,Youngsoon,14,1,no_data
initial_value,Sangju1,15,1,no_data
initial_value,Donam,16,1,no_data
initial_value,Donam,17,1,no_data
initial_value,Sangju2,18,1,no_data
initial_value,Sangju2,19,1,no_data
initial_value,Nakdan,20,1,no_data
initial_value,Sangju3,21,1,no_data
initial_value,Sangok,22,1,no_data
initial_value,Sunsan,23,1,no_data
initial_value,Sunsan,24,1,no_data
initial_value,Gangjeong,25,1,no_data
initial_value,Gangjeong,26,1,no_data
initial_value,Gumi,27,1,no_data
initial_value,Chilgok,28,1,no_data
initial_value,Waigwan,29,1,no_data
initial_value,Sungju,30,1,no_data
initial_value,Sungju,31,1,no_data
initial_value,Dasa,32,1,no_data
initial_value,Dasa,33,1,no_data
initial_value,Hwawonnaru,34,1,no_data
initial_value,Goryung,35,1,no_data
initial_value,Nongong,36,1,no_data
initial_value,Nongong,37,1,no_data
initial_value,Hyunpoong,38,1,no_data
initial_value,Hyunpoong,39,1,no_data
initial_value,Daeamri,40,1,no_data
initial_value,Daeamri,41,1,no_data
initial_value,Dukgok,42,1,no_data
initial_value,Dukgok,43,1,no_data
initial_value,Hapcheon,44,1,no_data
initial_value,Hapcheon,45,1,no_data
initial_value,Hapcheon,46,1,no_data
initial_value,Hapcheon,47,1,no_data
initial_value,Yongsan,48,1,no_data
initial_value,Namji,49,1,no_data
initial_value,Namji,50,1,no_data
initial_value,Namji,51,1,no_data
initial_value,Haman,52,1,no_data
initial_value,Haman,53,1,no_data
initial_value,Imhaejin,54,1,no_data
initial_value,Bukmyun,55,1,no_data
initial_value,Hanam,56,1,no_data
initial_value,Hanam,57,1,no_data
initial_value,Hanam,58,1,no_data
initial_value,Hanam,59,1,no_data
initial_value,Mulgeum,60,1,no_data
initial_value,Mulgeum,61,1,no_data
initial_value,Mulgeum,62,1,no_data
initial_value,Geumgok,63,1,no_data
initial_value,Gupo,64,1,no_data
initial_value,Gupo,65,1,no_data
initial_value,Gupo,66,1,no_data
initial_value,Gupo,67,1,no_data
initial_value,Sungdukdam,68,2,no_data
initial_value,Sungdukdam,69,2,no_data
initial_value,Sungdukdam,70,2,no_data
initial_value,Sungdukdam,71,2,no_data
initial_value,Sungdukdam,72,2,no_data
initial_value,Imhadam1,73,2,no_data
initial_value,Imhadam1,74,2,no_data
initial_value,Micheon,75,3,no_data
initial_value,Micheon,76,3,no_data
initial_value,Youngjuseocheon1,77,4,no_data
initial_value,Youngjudam1,78,4,no_data
initial_value,Naesungcheon2,79,4,no_data
initial_value,Naesungcheon2,80,4,no_data
initial_value,Naesungcheon2,81,4,no_data
initial_value,Naesungcheon3,82,4,no_data
initial_value,Naesungcheon4,83,4,no_data
initial_value,Naesungcheon5,84,4,no_data
initial_value,Naesungcheon5,85,4,no_data
initial_value,Naesungcheon4,86,4,no_data
initial_value,Naesungcheon4,87,4,no_data
initial_value,Geumcheon,88,5,no_data
initial_value,Geumcheon,89,5,no_data
initial_value,Younggang1,90,6,no_data
initial_value,Younggang1,91,6,no_data
initial_value,Younggang1,92,6,no_data
initial_value,Younggang3,93,6,no_data
initial_value,Younggang3,94,6,no_data
initial_value,Byungsungcheon,95,7,no_data
initial_value,Gunwidam1,96,8,no_data
initial_value,Gunwidam1,97,8,no_data
initial_value,Gunwinamcheon,98,8,no_data
initial_value,Wuicheon2,99,8,no_data
initial_value,Wuicheon2,100,8,no_data
initial_value,Wuicheon4,101,8,no_data
initial_value,Wuicheon4,102,8,no_data
initial_value,Wuicheon5,103,8,no_data
initial_value,Ssanggyecheon,104,8,no_data
initial_value,Kimcheonbuhangdam,105,9,no_data
initial_value,Kimcheonbuhangdam,106,9,no_data
initial_value,Gamcheon1,107,9,no_data
initial_value,Gamcheon1,108,9,no_data
initial_value,Gamcheon4,109,9,no_data
initial_value,Gamcheon4,110,9,no_data
initial_value,Baekcheon2,111,10,no_data
initial_value,Bohyunsandam,112,11,no_data
initial_value,Bohyunsandam,113,11,no_data
initial_value,Youngcheondam,114,11,no_data
initial_value,Geumhogang1,115,11,no_data
initial_value,Geumhogang1,116,11,no_data
initial_value,Geumhogang1,117,11,no_data
initial_value,Geumhogang1,118,11,no_data
initial_value,Geumhogang3,119,11,no_data
initial_value,Geumhogang3,120,11,no_data
initial_value,Geumhogang3,121,11,no_data
initial_value,Geumhogang3,122,11,no_data
initial_value,Geumhogang5,123,11,no_data
initial_value,Geumhogang5,124,11,no_data
initial_value,Geumhogang5,125,11,no_data
initial_value,Geumhogang6,126,11,no_data
initial_value,Geumhogang7,127,11,no_data
initial_value,Geumhogang7,128,11,no_data
initial_value,Geumhogang8,129,11,no_data
initial_value,Chacheon,130,12,no_data
initial_value,Hoicheon1,131,13,no_data
initial_value,Hoicheon1,132,13,no_data
initial_value,Hoicheon1,133,13,no_data
initial_value,Hoicheon1,134,13,no_data
initial_value,Hoicheon2,135,13,no_data
initial_value,Hoicheon2,136,13,no_data
initial_value,Hoicheon2,137,13,no_data
initial_value,Hapcheondam1,138,14,no_data
initial_value,Hwanggang4,139,14,no_data
initial_value,Hwanggang5,140,14,no_data
initial_value,Hwanggang6,141,14,no_data
initial_value,Sinbancheon,142,15,no_data
initial_value,Namgangdam1,143,16,no_data
initial_value,Namgang2,144,16,no_data
initial_value,Namgang3,145,16,no_data
initial_value,Namgang3,146,16,no_data
initial_value,Namgang5,147,16,no_data
initial_value,Namgang5,148,16,no_data
initial_value,Namgang5,149,16,no_data
initial_value,Namgang5,150,16,no_data
initial_value,Namgang6,151,16,no_data
initial_value,Namgang6,152,16,no_data
initial_value,Unmoondam1,153,17,no_data
initial_value,Dongchangcheon1,154,17,no_data
initial_value,Chungdocheon,155,17,no_data
initial_value,Milyanggang3,156,17,no_data
initial_value,Milyanggang3,157,17,no_data
initial_value,Milyanggang4,158,17,no_data
initial_value,Chungdocheon,159,17,no_data
initial_value,Milyangdam1,160,17,no_data
initial_value,Milyangdam1,161,17,no_data
initial_value,Gachangdam1,162,11,no_data
initial_value,Gachangdam1,163,11,no_data
initial_value,Gachangdam1,164,11,no_data
initial_value,Donam,165,1,no_data
initial_value,Nakdan,166,1,no_data
initial_value,Sunsan,167,1,no_data
initial_value,Chilgok,168,1,no_data
initial_value,Dasa,169,1,no_data
initial_value,Nongong,170,1,no_data
initial_value,Dukgok,171,1,no_data
initial_value,Haman,172,1,no_data
initial_value,Haman,173,1,no_data
data_assimilation,No_DA,0,1,no_data
data_assimilation,No_DA,1,1,no_data
data_assimilation,No_DA,2,1,no_data
data_assimilation,No_DA,3,1,no_data
data_assimilation,No_DA,4,1,no_data
data_assimilation,No_DA,5,1,no_data
data_assimilation,No_DA,6,1,no_data
data_assimilation,No_DA,7,1,no_data
data_assimilation,No_DA,8,1,no_data
data_assimilation,No_DA,9,1,no_data
data_assimilation,No_DA,10,1,no_data
data_assimilation,No_DA,11,1,no_data
data_assimilation,No_DA,12,1,no_data
data_assimilation,No_DA,13,1,no_data
data_assimilation,No_DA,14,1,no_data
data_assimilation,No_DA,15,1,no_data
data_assimilation,Donam,16,1,no_data
data_assimilation,No_DA,17,1,no_data
data_assimilation,No_DA,18,1,no_data
data_assimilation,No_DA,19,1,no_data
data_assimilation,Nakdan,20,1,no_data
data_assimilation,No_DA,21,1,no_data
data_assimilation,No_DA,22,1,no_data
data_assimilation,Sunsan,23,1,no_data
data_assimilation,No_DA,24,1,no_data
data_assimilation,No_DA,25,1,no_data
data_assimilation,No_DA,26,1,no_data
data_assimilation,No_DA,27,1,no_data
data_assimilation,Chilgok,28,1,no_data
data_assimilation,No_DA,29,1,no_data
data_assimilation,No_DA,30,1,no_data
data_assimilation,No_DA,31,1,no_data
data_assimilation,Dasa,32,1,no_data
data_assimilation,No_DA,33,1,no_data
data_assimilation,No_DA,34,1,no_data
data_assimilation,No_DA,35,1,no_data
data_assimilation,Nongong,36,1,no_data
data_assimilation,No_DA,37,1,no_data
data_assimilation,No_DA,38,1,no_data
data_assimilation,No_DA,39,1,no_data
data_assimilation,No_DA,40,1,no_data
data_assimilation,No_DA,41,1,no_data
data_assimilation,Dukgok,42,1,no_data
data_assimilation,No_DA,43,1,no_data
data_assimilation,No_DA,44,1,no_data
data_assimilation,No_DA,45,1,no_data
data_assimilation,No_DA,46,1,no_data
data_assimilation,No_DA,47,1,no_data
data_assimilation,No_DA,48,1,no_data
data_assimilation,No_DA,49,1,no_data
data_assimilation,No_DA,50,1,no_data
data_assimilation,No_DA,51,1,no_data
data_assimilation,No_DA,52,1,no_data
data_assimilation,Haman,53,1,no_data
data_assimilation,No_DA,54,1,no_data
data_assimilation,No_DA,55,1,no_data
data_assimilation,No_DA,56,1,no_data
data_assimilation,No_DA,57,1,no_data
data_assimilation,No_DA,58,1,no_data
data_assimilation,No_DA,59,1,no_data
data_assimilation,No_DA,60,1,no_data
data_assimilation,No_DA,61,1,no_data
data_assimilation,No_DA,62,1,no_data
data_assimilation,No_DA,63,1,no_data
data_assimilation,No_DA,64,1,no_data
data_assimilation,No_DA,65,1,no_data
data_assimilation,No_DA,66,1,no_data
data_assimilation,No_DA,67,1,no_data
data_assimilation,No_DA,68,2,no_data
data_assimilation,No_DA,69,2,no_data
data_assimilation,No_DA,70,2,no_data
data_assimilation,No_DA,71,2,no_data
data_assimilation,No_DA,72,2,no_data
data_assimilation,No_DA,73,2,no_data
data_assimilation,No_DA,74,2,no_data
data_assimilation,No_DA,75,3,no_data
data_assimilation,No_DA,76,3,no_data
data_assimilation,No_DA,77,4,no_data
data_assimilation,No_DA,78,4,no_data
data_assimilation,No_DA,79,4,no_data
data_assimilation,No_DA,80,4,no_data
data_assimilation,No_DA,81,4,no_data
data_assimilation,No_DA,82,4,no_data
data_assimilation,No_DA,83,4,no_data
data_assimilation,No_DA,84,4,no_data
data_assimilation,No_DA,85,4,no_data
data_assimilation,No_DA,86,4,no_data
data_assimilation,No_DA,87,4,no_data
data_assimilation,No_DA,88,5,no_data
data_assimilation,No_DA,89,5,no_data
data_assimilation,No_DA,90,6,no_data
data_assimilation,No_DA,91,6,no_data
data_assimilation,Younggang1,92,6,no_data
data_assimilation,No_DA,93,6,no_data
data_assimilation,No_DA,94,6,no_data
data_assimilation,No_DA,95,7,no_data
data_assimilation,No_DA,96,8,no_data
data_assimilation,No_DA,97,8,no_data
data_assimilation,No_DA,98,8,no_data
data_assimilation,No_DA,99,8,no_data
data_assimilation,No_DA,100,8,no_data
data_assimilation,No_DA,101,8,no_data
data_assimilation,No_DA,102,8,no_data
data_assimilation,Wuicheon5,103,8,no_data
data_assimilation,No_DA,104,8,no_data
data_assimilation,No_DA,105,9,no_data
data_assimilation,No_DA,106,9,no_data
data_assimilation,No_DA,107,9,no_data
data_assimilation,No_DA,108,9,no_data
data_assimilation,No_DA,109,9,no_data
data_assimilation,Gamcheon4,110,9,no_data
data_assimilation,No_DA,111,10,no_data
data_assimilation,No_DA,112,11,no_data
data_assimilation,No_DA,113,11,no_data
data_assimilation,No_DA,114,11,no_data
data_assimilation,No_DA,115,11,no_data
data_assimilation,No_DA,116,11,no_data
data_assimilation,No_DA,117,11,no_data
data_assimilation,No_DA,118,11,no_data
data_assimilation,No_DA,119,11,no_data
data_assimilation,No_DA,120,11,no_data
data_assimilation,No_DA,121,11,no_data
data_assimilation,No_DA,122,11,no_data
data_assimilation,No_DA,123,11,no_data
data_assimilation,No_DA,124,11,no_data
data_assimilation,No_DA,125,11,no_data
data_assimilation,No_DA,126,11,no_data
data_assimilation,No_DA,127,11,no_data
data_assimilation,No_DA,128,11,no_data
data_assimilation,Geumhogang8,129,11,no_data
data_assimilation,No_DA,130,12,no_data
data_assimilation,No_DA,131,13,no_data
data_assimilation,No_DA,132,13,no_data
data_assimilation,No_DA,133,13,no_data
data_assimilation,No_DA,134,13,no_data
data_assimilation,Hoicheon2,135,13,no_data
data_assimilation,No_DA,136,13,no_data
data_assimilation,No_DA,137,13,no_data
data_assimilation,No_DA,138,14,no_data
data_assimilation,No_DA,139,14,no_data
data_assimilation,No_DA,140,14,no_data
data_assimilation,Hwanggang6,141,14,no_data
data_assimilation,No_DA,142,15,no_data
data_assimilation,No_DA,143,16,no_data
data_assimilation,No_DA,144,16,no_data
data_assimilation,No_DA,145,16,no_data
data_assimilation,No_DA,146,16,no_data
data_assimilation,No_DA,147,16,no_data
data_assimilation,No_DA,148,16,no_data
data_assimilation,No_DA,149,16,no_data
data_assimilation,No_DA,150,16,no_data
data_assimilation,No_DA,151,16,no_data
data_assimilation,Namgang7,152,16,no_data
data_assimilation,No_DA,153,17,no_data
data_assimilation,No_DA,154,17,no_data
data_assimilation,No_DA,155,17,no_data
data_assimilation,No_DA,156,17,no_data
data_assimilation,No_DA,157,17,no_data
data_assimilation,No_DA,158,17,no_data
data_assimilation,No_DA,159,17,no_data
data_assimilation,No_DA,160,17,no_data
data_assimilation,No_DA,161,17,no_data
data_assimilation,No_DA,162,11,no_data
data_assimilation,No_DA,163,11,no_data
data_assimilation,No_DA,164,11,no_data
data_assimilation,No_DA,165,1,no_data
data_assimilation,No_DA,166,1,no_data
data_assimilation,No_DA,167,1,no_data
data_assimilation,No_DA,168,1,no_data
data_assimilation,No_DA,169,1,no_data
data_assimilation,No_DA,170,1,no_data
data_assimilation,No_DA,171,1,no_data
data_assimilation,No_DA,172,1,no_data
data_assimilation,No_DA,173,1,no_data
